time,VLA,VLV,VRA,VRV,pARSYS
2.0001,99.835135589,61.067903936,105.22426479,66.380536695,131.05265668
2.0101,101.38627643,61.067903016,106.22502169,66.380536954,129.83250449
2.0201,102.95811454,61.067904715,107.22742151,66.380537552,128.62840514
2.0301,104.54826012,61.067908878,108.23126036,66.380538485,127.440145
2.0401,106.15415393,61.067915311,109.23631842,66.380539747,126.26751278
2.0501,107.77305264,61.067923786,110.24236038,66.380541327,125.11029994
2.0601,109.4020164,61.067934062,111.24913597,66.380543211,123.96830072
2.0701,111.03789896,61.06794589,112.25638062,66.380545382,122.84131214
2.0801,112.67734019,61.067959019,113.26381606,66.38054782,121.729134
2.0901,113.27736935,62.110281034,114.27115112,66.380550504,120.63156891
2.1001,112.16370743,64.889471222,114.90240097,66.756325296,119.5484222
2.1101,110.04769515,68.73928314,114.64831131,68.017779463,118.47950167
2.1201,107.37914792,73.250796483,113.73753939,69.937185923,117.42461753
2.1301,104.53650145,78.072662625,112.36609115,72.319160018,116.3835824
2.1401,101.83628973,82.899503935,110.71683666,74.981360374,115.35621125
2.1501,99.472324559,87.533943355,108.96941949,77.744477217,114.34232136
2.1601,97.577531966,91.828106471,107.30697305,80.425429995,113.34173241
2.1701,96.217197054,95.693868846,105.88302771,82.870458891,112.35426642
2.1801,95.373704884,99.121334114,104.70341777,85.073334802,111.37974782
2.1901,94.969780401,102.15889178,103.73732082,87.064505131,110.41800344
2.2001,94.91076289,104.87373177,102.95779537,88.870582672,109.4688625
2.2101,95.111272788,107.32704251,102.34129231,90.514828476,108.53215657
2.2201,95.511339496,109.55962034,101.86722771,92.01757392,107.60771951
2.2301,96.064902691,111.6038927,101.51760951,93.396589621,106.69538748
2.2401,96.735536444,113.48660615,101.27671108,94.667407894,105.79499887
2.2501,97.40153381,115.31700905,101.13078603,95.843604614,104.90639426
2.2601,97.601877244,117.50760267,101.0678188,96.937045576,104.02941641
2.2701,96.946082763,120.35021128,101.07730675,97.958101843,103.16391024
2.2801,95.250904314,123.92348546,101.15006963,98.915837978,102.30972276
2.2901,92.550769627,128.11347486,101.18752775,99.907387524,101.46670304
2.3001,89.078155791,132.65056511,100.74079308,101.37208142,100.63470256
2.3101,85.194803169,137.18287213,99.414142967,103.69499488,99.813576348
2.3201,81.294658211,141.36665866,97.054618573,107.02326678,99.003183358
2.3301,77.7153195,144.94117948,93.777973297,111.24138204,98.203385831
2.3401,74.689281579,147.76242969,89.924508841,116.01495298,97.414048126
2.3501,72.341815188,149.79363397,85.958732016,120.88920343,96.635035528
2.3601,70.719770645,151.06995442,82.35357975,125.4022117,95.866213339
2.3701,69.769186657,151.7149808,79.432140234,129.23994388,95.107446466
2.3801,69.243545632,152.01226261,77.147054949,132.45077656,94.358599748
2.3901,68.96814062,152.13581221,75.382108568,135.14909966,93.619539133
2.4001,68.845926274,152.1704369,74.043293634,137.42742146,92.89013243
2.4101,68.809245877,152.17113159,73.054719311,139.36043056,92.170249467
2.4201,68.816083229,152.17114082,72.355216989,141.00833553,91.459762069
2.4301,68.86023865,152.17114996,71.895557766,142.41960228,90.758543991
2.4401,68.938830431,152.17115897,71.636177529,143.63319194,90.066470855
2.4501,69.050343584,152.17116783,71.716317764,144.50932005,89.383420099
2.4601,69.194038502,152.17117642,72.591619755,144.59071231,88.709270965
2.4701,69.369612566,152.17118456,73.547091239,144.59071404,88.043904639
2.4801,69.577006822,152.17119195,74.501437597,144.59071509,87.387204239
2.4901,69.816295803,152.17119812,75.454882785,144.59071528,86.739054593
2.5001,70.087624946,152.1712024,76.407649468,144.59071443,86.099342141
2.5101,70.391175139,152.17120386,77.359958044,144.13607455,85.467954902
2.5201,70.727150211,152.17120132,78.312025687,139.27658743,84.844782457
2.5301,71.095919668,151.04367497,79.264065421,130.74865343,85.169157862
2.5401,71.498476083,146.10492249,80.216286966,120.48935879,88.664339514
2.5501,71.936817969,140.17282862,81.168906854,110.03778997,92.953778209
2.5601,72.413931275,133.64514344,82.122150293,100.40188506,97.689542493
2.5701,72.933432165,126.82112811,83.076243418,92.087227537,102.61370593
2.5801,73.499064889,119.94161824,84.031408278,85.226536541,107.52159246
2.5901,74.114228584,113.19802163,84.987859475,79.733918958,112.25286601
2.6001,74.781636168,106.73866666,85.945801572,75.431085307,116.68544575
2.6101,75.503136256,100.66361509,86.905426987,72.126794044,120.73923929
2.6201,76.279679191,95.0342889,87.866914277,69.655113784,124.36757633
2.6301,77.111384821,89.878450984,88.830426773,67.887236317,127.55259259
2.6401,77.99766655,85.197294135,89.79611154,66.730334396,130.29892749
2.6501,78.937374426,80.974333889,90.764098596,66.086905402,132.62599852
2.6601,79.928932651,77.183287795,91.73450035,65.786033585,134.5612134
2.6701,80.970463308,73.795303134,92.707411179,65.725652797,136.13381438
2.6801,82.059897613,70.785664366,93.682907118,65.725649828,137.36923862
2.6901,83.195072231,68.13906582,94.661045614,65.725646961,138.28475008
2.7001,84.373812247,65.848257444,95.641865301,65.725644227,138.89064792
2.7101,85.593992506,63.920176915,96.625385768,65.72564166,139.1852507
2.7201,86.853569986,62.384773416,97.611607302,65.725639287,139.14768932
2.7301,88.150590919,61.299069876,98.600510575,65.725637135,138.73474002
2.7401,89.483180093,60.776222192,99.592056239,65.725635229,137.85691966
2.7501,90.849519141,60.754955681,100.58618435,65.725633592,136.57097864
2.7601,92.247818906,60.754941855,101.58281388,65.725632241,135.28203859
2.7701,93.676290647,60.754930412,102.58184392,65.725631194,134.00940174
2.7801,95.133116452,60.754921528,103.5831553,65.725630463,132.75333837
2.7901,96.616420715,60.754915312,104.58661128,65.725630057,131.51375885
2.8001,98.124243761,60.754911822,105.59205782,65.725629984,130.29047852
2.8101,99.654517737,60.754911031,106.59932385,65.725630247,129.08328918
2.8201,101.20504486,60.754912837,107.60822154,65.725630844,127.89197849
2.8301,102.77347803,60.754917087,108.61854659,65.725631772,126.71633506
2.8401,104.35730389,60.754923582,109.63007871,65.725633024,125.55614989
2.8501,105.95382815,60.754932098,110.64258201,65.725634589,124.4112167
2.8601,107.56016337,60.754942394,111.65580559,65.725636454,123.28133195
2.8701,109.17321914,60.754954221,112.66948414,65.725638603,122.16629488
2.8801,110.78969461,60.754967332,113.68333861,65.725641015,121.06590746
2.8901,111.34875686,61.815309324,114.69707694,65.725643669,119.97997445
2.9001,110.23349063,64.573424353,115.23700303,66.199176709,118.90830329
2.9101,108.14685087,68.370897507,114.90786074,67.542248201,117.85070386
2.9201,105.53010078,72.806410999,113.94261312,69.522792057,116.80698842
2.9301,102.75191801,77.537482756,112.53088793,71.951772171,115.77697158
2.9401,100.11759041,82.269366859,110.85117586,74.651206519,114.76047031
2.9501,97.812961195,86.812422846,109.08003034,77.444861821,113.75730387
2.9601,95.965691723,91.024178928,107.39835886,80.151874179,112.76729387
2.9701,94.638436457,94.819563594,105.95821028,82.619959181,111.79026425
2.9801,93.813960408,98.188905865,104.76486869,84.843433587,110.82604133
2.9901,93.417271472,101.17898762,103.78719958,86.853053294,109.87445384
3.0001,93.356133791,103.85522558,102.99798864,88.675700752,108.93533282
3.0101,93.547293347,106.27725818,102.37344831,90.334872715,108.00851167
3.0201,93.932462494,108.48466265,101.89278626,91.851106593,107.09382607
3.0301,94.466964747,110.50882384,101.53782825,93.242353095,106.19111394
3.0401,95.115494798,112.37561392,101.29268844,94.524301959,105.30021542
3.0501,95.758783407,114.19211525,101.14348125,95.710666664,104.42097284
3.0601,95.943206863,116.36432842,101.07806948,96.813433291,103.55323065
3.0701,95.283792423,119.18037214,101.08584419,97.843078047,102.69683547
3.0801,93.599101715,122.71908806,101.1575322,98.808757408,101.85163596
3.0901,90.921628033,126.8701522,101.19446573,99.807692019,101.01748284
3.1001,87.478999305,131.36991395,100.74765426,101.27931392,100.19422921
3.1101,83.62714014,135.87276405,99.421282642,103.60878933,99.381731692
3.1201,79.755446024,140.03937408,97.062311791,106.94333611,98.579850821
3.1301,76.199430077,143.61043231,93.786428165,111.167505,97.788450395
3.1401,73.191849318,146.44056333,89.933885625,115.94695541,97.00739631
3.1501,70.859286092,148.49012544,85.969167719,120.8269341,96.23655537
3.1601,69.249461761,149.79143194,82.365214407,125.34551665,95.475794373
3.1701,68.309334931,150.46493663,79.445128781,129.18865492,94.724979703
3.1801,67.79511633,150.78965352,77.161533062,132.40474477,93.983977658
3.1901,67.532574673,150.93811165,75.398186742,135.10820099,93.252655622
3.2001,67.424669418,150.99454768,74.061062696,137.39155132,92.530882822
3.2101,67.413550612,151.0036421,73.074254896,139.32949939,91.818530485
3.2201,67.451520811,151.00365006,72.376583169,140.98226528,91.115471815
3.2301,67.523321389,151.00365922,71.918809982,142.39832348,90.421581929
3.2401,67.625910538,151.00366827,71.661364952,143.61664144,89.736737793
3.2501,67.75788329,151.00367717,71.743468394,144.49745592,89.060818172
3.2601,67.918736161,151.0036858,72.623784568,144.58046797,88.393703615
3.2701,68.108449998,151.00369399,73.585863528,144.58046964,87.735276598
3.2801,68.327254881,151.00370144,74.546789163,144.58047065,87.085421512
3.2901,68.575498984,151.00370769,75.506786098,144.58047079,86.444024443
3.3001,68.8535766,151.00371208,76.466077706,144.58046989,85.81097307
3.3101,69.161889594,151.00371368,77.424885121,143.92507275,85.186156634
3.3201,69.500838166,151.00371132,78.383426275,138.71809791,84.569465923
3.3301,69.870988789,150.04004353,79.341914982,129.99308417,84.763742705
3.3401,70.273546523,145.16502187,80.300561561,119.64747512,88.213263836
3.3501,70.710715792,139.27627259,81.259582664,109.18183655,92.474918944
3.3601,71.185656444,132.7859717,82.219203824,99.572198868,97.188367353
3.3701,71.702113285,125.99703731,83.179651707,91.301312336,102.09247874
3.3801,72.263913542,119.15187804,84.141148967,84.487784908,106.98120247
3.3901,72.874501362,112.44303011,85.103910844,79.038334095,111.69323721
3.4001,73.536607596,106.01874816,86.068142551,74.771610327,116.10655689
3.4101,74.25208236,99.978873608,87.034037148,71.49565562,120.14125092
3.4201,75.021869681,94.384412838,88.00177382,69.044849319,123.75099301
3.4301,75.846081349,89.262552456,88.971516519,67.290993197,126.91839331
3.4401,76.724124742,84.613884897,89.943412912,66.141832131,129.64858037
3.4501,77.654847906,80.421409839,90.9175936,65.50068349,131.96138431
3.4601,78.636677865,76.658436715,91.894171564,65.198428535,133.88453008
3.4701,79.667744355,73.296258948,92.873241732,65.135269913,135.44711147
3.4801,80.745990548,70.310803315,93.854880674,65.135266991,136.67400419
3.4901,81.869268382,67.68747267,94.839146345,65.135264168,137.58186095
3.5001,83.035420334,65.419557796,95.826077858,65.135261478,138.18051631
3.5101,84.242339988,63.515615961,96.815695242,65.135258951,138.46693279
3.5201,85.488004042,62.006970667,97.807999174,65.135256615,138.4191039
3.5301,86.770479312,60.952230744,98.802970656,65.135254498,137.99250692
3.5401,88.087912084,60.467415989,99.8005706,65.135252624,137.0953184
3.5501,89.438506501,60.455125857,100.80073924,65.135251014,135.81440505
3.5601,90.820497145,60.455112184,101.80339567,65.135249688,134.53799004
3.5701,92.232120443,60.455100888,102.80843919,65.13524866,133.27775875
3.5801,93.671585229,60.455092139,103.81575079,65.135247945,132.0339474
3.5901,95.137044451,60.455086047,104.82519388,65.135247552,130.80645877
3.6001,96.626568992,60.455082666,105.8366145,65.135247486,129.59510773
3.6101,98.138123753,60.455081967,106.84984157,65.135247752,128.39968755
3.6201,99.669546069,60.455083849,107.86468719,65.135248348,127.21998783
3.6301,101.2185265,60.455088155,108.88094695,65.135249271,126.05579926
3.6401,102.78259201,60.455094688,109.89840033,65.135250514,124.90691489
3.6501,104.35909143,60.455103225,110.91681118,65.135252066,123.7731305
3.6601,105.94518338,60.455113525,111.93592826,65.135253915,122.65424457
3.6701,107.53782646,60.45512534,112.95548585,65.135256043,121.55005837
3.6801,109.13377189,60.455138424,113.97520443,65.135258432,120.46037581
3.6901,109.66697082,61.520789947,114.99364655,65.136405922,119.38500363
3.7001,108.55641715,64.253664723,115.44817128,65.701225937,118.32375118
3.7101,106.49899475,68.000885903,115.05746265,67.111859775,117.27643022
3.7201,103.92875297,72.367570521,114.04821504,69.142477696,116.24285487
3.7301,101.2061178,77.018790433,112.60460239,71.609472282,115.22284158
3.7401,98.626862132,81.668865131,110.90134151,74.338618422,114.21620911
3.7501,96.370631542,86.134229415,109.11229256,77.156364565,113.2227785
3.7601,94.560824382,90.276854888,107.41639158,79.883810542,112.24237314
3.7701,93.258330394,94.013843994,105.96435835,82.369996094,111.27481872
3.7801,92.446740492,97.335248017,104.7610177,84.609693924,110.31994328
3.7901,92.053306377,100.28619392,103.77499689,86.633895422,109.37757724
3.8001,91.987931492,102.93051221,102.97887338,88.469688874,108.44755333
3.8101,92.169137249,105.326545,102.3486776,90.140750968,107.52970661
3.8201,92.539992002,107.51289338,101.86345814,91.667776384,106.62387438
3.8301,93.056916528,109.52011939,101.5049017,93.068853312,105.72989619
3.8401,93.685489573,111.37340603,101.25700091,94.359791661,104.84761377
3.8501,94.308515081,113.17798457,101.10576397,95.554409955,103.97687101
3.8601,94.478875309,115.33412433,101.03896086,96.664786099,103.11751393
3.8701,93.816490338,118.12663408,101.04590145,97.701476567,102.26939067
3.8801,92.141559657,121.63447064,101.11724165,98.673708001,101.4323514
3.8901,89.484901668,125.75046394,101.15428895,99.678725683,100.60624834
3.9001,86.069848794,130.21622249,100.70817891,101.15583889,99.790936046
3.9101,82.2470961,134.69174601,99.38319825,103.49011564,98.986272598
3.9201,78.401831662,138.84176063,97.026301214,106.82878181,98.192119962
3.9301,74.867541207,142.40838554,93.753053633,111.05650745,97.408343347
3.9401,71.876997699,145.24524509,89.903505315,115.83915239,96.634810044
3.9501,69.557854957,147.31026893,85.941906639,120.72219176,95.87138823
3.9601,67.958627887,148.63326644,82.340990696,125.2439033,95.117946064
3.9701,67.027228052,149.33182846,79.423736842,129.09035923,94.37435127
3.9801,66.52238572,149.68089737,77.142778937,132.30994346,93.640471469
4.0,66.270384043,149.85162941,75.381912069,135.01703582,92.916175352
